x,y,data,auxilary
618989.100 ,4301130.800 ,0.347 ,0.452 
618542.100 ,4301156.800 ,0.296 ,0.365 
619044.200 ,4301542.300 ,0.303 ,0.386 
619068.000 ,4301717.800 ,0.285 ,0.452 
618504.500 ,4301020.300 ,0.371 ,0.598 
619072.500 ,4301092.400 ,0.279 ,0.468 
619171.700 ,4301499.700 ,0.312 ,0.434 
618803.700 ,4301158.200 ,0.312 ,0.421 
618603.800 ,4301209.500 ,0.323 ,0.405 
619338.700 ,4301629.800 ,0.344 ,0.517 
618855.100 ,4301118.500 ,0.303 ,0.426 
618906.000 ,4301156.600 ,0.215 ,0.426 
618819.700 ,4301768.800 ,0.303 ,0.372 
618618.000 ,4301750.300 ,0.303 ,0.799 
619139.900 ,4301233.400 ,0.282 ,0.661 
619072.500 ,4301858.000 ,0.311 ,0.349 
618663.600 ,4301756.800 ,0.268 ,0.799 
618855.200 ,4301914.200 ,0.348 ,0.404 
618610.100 ,4301133.600 ,0.342 ,0.512 
618657.500 ,4301267.200 ,0.298 ,0.464 
618732.000 ,4301705.000 ,0.371 ,0.452 
619039.500 ,4301807.700 ,0.322 ,0.349 
618639.200 ,4301661.900 ,0.349 ,0.417 
619063.300 ,4301281.600 ,0.252 ,0.574 
618726.000 ,4301753.800 ,0.256 ,0.451 
619061.700 ,4301170.500 ,0.328 ,0.468 
619094.500 ,4301597.500 ,0.266 ,0.386 
619263.900 ,4301717.500 ,0.287 ,0.552 
618603.500 ,4301304.700 ,0.290 ,0.464 
619149.100 ,4301632.200 ,0.301 ,0.515 
618642.700 ,4301379.400 ,0.277 ,0.263 
619226.300 ,4301350.100 ,0.323 ,0.957 
619156.700 ,4301101.000 ,0.354 ,0.835 
619326.100 ,4301684.500 ,0.295 ,0.517 
619144.900 ,4301447.200 ,0.369 ,0.434 
618743.200 ,4301435.400 ,0.284 ,0.288 
619340.200 ,4301740.800 ,0.287 ,0.435 
618775.600 ,4301832.400 ,0.248 ,0.282 
618599.300 ,4301614.500 ,0.275 ,0.592 
619171.600 ,4301160.800 ,0.224 ,0.835 
619107.700 ,4301397.400 ,0.328 ,0.536 
618733.100 ,4301804.000 ,0.307 ,0.451 
618812.700 ,4301656.800 ,0.232 ,0.411 
619291.900 ,4301635.000 ,0.315 ,0.572 
619022.000 ,4303208.200 ,0.246 ,0.524 
617685.900 ,4302618.800 ,0.291 ,0.589 
616705.900 ,4301957.700 ,0.269 ,0.545 
617573.900 ,4303976.100 ,0.226 ,0.495 
617298.900 ,4304117.900 ,0.241 ,0.224 
619741.300 ,4303983.100 ,0.234 ,0.237 
618609.500 ,4303445.800 ,0.210 ,0.557 
617665.400 ,4303187.000 ,0.357 ,0.374 
618076.700 ,4302883.900 ,0.255 ,0.506 
616628.500 ,4303445.700 ,0.242 ,0.376 
619776.400 ,4301915.200 ,0.172 ,0.375 
618475.300 ,4302408.300 ,0.277 ,0.180 
618873.100 ,4301968.900 ,0.208 ,0.404 
619824.100 ,4300429.800 ,0.152 ,0.683 
617012.000 ,4301095.600 ,0.271 ,0.489 
617956.600 ,4301457.400 ,0.263 ,0.424 
619224.400 ,4302650.300 ,0.264 ,0.512 
618122.000 ,4304139.600 ,0.193 ,0.447 
617291.700 ,4301776.100 ,0.225 ,0.449 
619748.200 ,4301535.100 ,0.268 ,0.398 
617328.100 ,4302217.800 ,0.237 ,0.321 
619551.500 ,4302514.000 ,0.211 ,0.396 
619103.900 ,4303804.700 ,0.217 ,0.382 
618878.600 ,4302918.700 ,0.275 ,0.462 
618126.300 ,4302277.800 ,0.200 ,0.508 
617242.000 ,4303186.600 ,0.311 ,0.465 
618123.200 ,4301064.400 ,0.231 ,0.198 
619797.800 ,4302686.900 ,0.198 ,0.367 
616865.900 ,4302478.800 ,0.321 ,0.394 
618863.900 ,4302469.100 ,0.202 ,0.433 
619598.600 ,4302903.700 ,0.256 ,0.497 
617723.200 ,4302096.400 ,0.239 ,0.369 
620021.000 ,4304314.900 ,0.291 ,0.492 
617635.200 ,4301697.900 ,0.245 ,0.393 
619492.300 ,4304219.900 ,0.369 ,0.259 
619369.900 ,4301403.400 ,0.214 ,0.250 
619668.800 ,4301043.900 ,0.290 ,0.462 
619118.400 ,4301114.900 ,0.270 ,0.835 
619020.600 ,4301405.500 ,0.248 ,0.410 
619257.600 ,4301530.500 ,0.273 ,0.552 
618960.800 ,4300620.800 ,0.223 ,0.422 
619176.300 ,4301904.500 ,0.308 ,0.768 
618700.300 ,4301218.200 ,0.214 ,0.501 
618838.100 ,4301548.900 ,0.223 ,0.370 
618943.100 ,4301245.300 ,0.221 ,0.513 
619488.100 ,4301902.500 ,0.235 ,0.940 
616784.200 ,4302978.400 ,0.304 ,0.413 
618027.700 ,4303655.700 ,0.210 ,0.549 
617246.800 ,4304428.500 ,0.241 ,0.467 
618746.700 ,4304594.000 ,0.219 ,0.512 
620553.600 ,4302382.600 ,0.249 ,0.478 
615927.900 ,4302087.900 ,0.412 ,0.255 
615726.000 ,4302818.100 ,0.198 ,0.347 
618203.200 ,4304992.700 ,0.343 ,0.393 
620420.900 ,4303263.000 ,0.297 ,0.744 
616203.900 ,4303497.200 ,0.261 ,0.461 
621272.700 ,4304234.800 ,0.376 ,0.366 
620788.900 ,4304654.200 ,0.201 ,0.675 
619430.800 ,4304830.800 ,0.341 ,0.401 
618955.800 ,4305046.200 ,0.345 ,0.627 
617922.400 ,4305303.900 ,0.227 ,0.528 
618143.000 ,4305884.600 ,0.194 ,0.925 
620948.900 ,4303236.000 ,0.298 ,0.457 
616275.800 ,4303815.400 ,0.343 ,0.493 
617634.900 ,4306142.300 ,0.119 ,0.645 
618955.400 ,4304229.900 ,0.361 ,0.328 
619853.000 ,4304148.900 ,0.300 ,0.391 
617125.500 ,4303304.300 ,0.440 ,0.257 
617954.600 ,4303306.400 ,0.245 ,0.570 
618782.500 ,4303281.800 ,0.207 ,0.447 
619794.600 ,4303213.000 ,0.209 ,0.519 
619270.900 ,4303722.600 ,0.251 ,0.375 
620218.000 ,4301988.300 ,0.317 ,0.277 
619543.300 ,4303282.500 ,0.248 ,0.465 
618761.200 ,4303808.000 ,0.258 ,0.444 
618445.200 ,4302637.600 ,0.258 ,0.474 
619639.200 ,4303544.200 ,0.241 ,0.445 
617637.500 ,4303623.800 ,0.178 ,0.557 
619938.200 ,4302261.000 ,0.322 ,0.432 
620224.000 ,4301709.800 ,0.265 ,0.816 
617282.700 ,4302776.300 ,0.299 ,0.322 
618087.800 ,4301366.900 ,0.231 ,0.459 
617566.800 ,4302386.200 ,0.300 ,0.473 
617972.400 ,4304492.700 ,0.261 ,0.421 
617784.500 ,4302511.300 ,0.243 ,0.478 
617221.400 ,4301318.100 ,0.281 ,0.659 
618056.500 ,4302473.100 ,0.310 ,0.564 
619330.400 ,4302007.700 ,0.290 ,0.254 
620131.600 ,4303726.500 ,0.251 ,0.395 
617587.000 ,4304305.100 ,0.269 ,0.620 
617758.300 ,4303571.200 ,0.190 ,0.615 
619304.900 ,4302215.900 ,0.314 ,0.345 
616900.200 ,4302297.300 ,0.300 ,0.640 
618491.800 ,4304191.200 ,0.243 ,0.517 
617398.000 ,4302960.000 ,0.297 ,0.377 
619298.400 ,4304240.500 ,0.348 ,0.438 
616990.800 ,4303616.100 ,0.232 ,0.412 
617036.300 ,4304270.300 ,0.318 ,0.396 
617337.800 ,4303244.500 ,0.269 ,0.506 
619863.800 ,4303020.800 ,0.222 ,0.744 
616960.500 ,4304571.500 ,0.210 ,0.428 
618387.500 ,4304454.700 ,0.230 ,0.459 
619980.800 ,4301453.400 ,0.340 ,0.431 
618746.600 ,4304114.100 ,0.289 ,0.387 
620126.800 ,4302142.300 ,0.321 ,0.612 
616616.300 ,4304381.800 ,0.224 ,0.408 
617191.900 ,4303535.600 ,0.254 ,0.243 
617705.600 ,4301459.200 ,0.358 ,0.358 
619883.900 ,4301750.200 ,0.302 ,0.433 
617691.200 ,4301957.900 ,0.296 ,0.394 
616575.000 ,4303147.400 ,0.209 ,0.336 
618463.600 ,4304025.200 ,0.274 ,0.437 
618264.700 ,4303140.500 ,0.249 ,0.471 
618027.300 ,4301973.300 ,0.299 ,0.294 
618674.700 ,4304704.300 ,0.245 ,0.618 
619431.400 ,4303916.300 ,0.305 ,0.111 
620191.700 ,4303395.200 ,0.311 ,0.325 
618494.000 ,4302047.300 ,0.319 ,0.411 
616742.400 ,4304447.100 ,0.308 ,0.446 
618343.300 ,4303606.800 ,0.218 ,0.553 
